CompanyID,Month,NumberOfEmployees,MarketingBudget,IndustryType,HistoricalSales,ProjectedSales
10,9,62,14917,Technology,424324,440615.1065495321
10,10,289,5757,Finance,436377,449947.2090573265
10,11,419,14045,Manufacturing,73088,75323.18625357613
10,12,226,42680,Healthcare,118464,120063.16736062712
11,1,261,5733,Healthcare,418065,433213.14962742146
11,2,197,31954,Finance,372142,389427.92379010865
11,3,389,32135,Finance,352526,357366.1103357371
11,4,50,8081,Retail,340328,347318.49299905763
11,5,166,42458,Finance,201171,210443.43789301283
11,6,24,24501,Healthcare,271578,277382.6420136416
11,7,310,22113,Technology,272352,282199.63468022185
11,8,74,35441,Manufacturing,87739,90493.36643895786
11,9,354,48086,Retail,440081,454979.1079495082
11,10,336,25690,Technology,189461,194506.6412432691
11,11,18,44939,Manufacturing,67352,68833.72102098934
11,12,353,30345,Manufacturing,176788,178899.0852675039
12,1,138,47313,Manufacturing,429987,447088.1151297712
12,2,145,45571,Technology,464364,482865.99777913437
12,3,481,27829,Retail,81828,84841.64583436646
12,4,72,36062,Retail,118040,122259.38129398559
12,5,148,4630,Manufacturing,406423,414449.3199202769
12,6,90,48861,Technology,144430,146003.3911513546
12,7,401,32870,Manufacturing,277603,289359.10281286354
12,8,172,48221,Finance,483927,498273.277926547
12,9,428,45942,Retail,165957,169653.4474262806
12,10,298,4453,Healthcare,67748,68701.70731282281
12,11,388,38275,Manufacturing,138636,140370.1788190482
12,12,270,44370,Finance,214763,219907.5765509159
13,1,499,39396,Retail,165158,172125.93056571114
13,2,240,9328,Technology,269589,282192.00267436635
13,3,50,16534,Retail,246354,257654.27142711545
13,4,37,20744,Technology,279316,292387.9981263574
13,5,144,20389,Technology,241432,252612.47780169616
13,6,210,37320,Manufacturing,322390,332412.77950673806
13,7,337,36010,Manufacturing,291851,297330.9769411388
13,8,277,15665,Retail,109395,113981.04223717736
13,9,427,38865,Finance,213558,217519.1846193427
13,10,42,9640,Retail,473556,483353.0643660694
13,11,57,35716,Healthcare,362444,369450.10517674603
13,12,416,26521,Technology,446302,459958.52706936985
14,1,71,31049,Technology,272143,278367.75414222636
14,2,225,6618,Manufacturing,312113,317158.6942846686
14,3,302,38004,Finance,327004,336201.6207353179
14,4,108,2920,Manufacturing,67013,70025.65583170841
14,5,181,44937,Healthcare,450623,465413.3995662449
14,6,369,5188,Retail,83542,87312.53652748243
14,7,223,13207,Retail,74935,76271.45728755622
14,8,484,1238,Finance,99079,100731.53417718412
14,9,44,33972,Manufacturing,84111,86888.60470478478
14,10,458,11799,Manufacturing,368694,379214.00344106805
14,11,236,6552,Healthcare,256769,266117.1647609219
14,12,110,29916,Retail,268008,279206.7334803802
15,1,440,5927,Manufacturing,389099,404683.30669723864
15,2,471,28964,Finance,90565,94884.0853276955
15,3,140,12164,Retail,69283,71079.52595182501
15,4,266,38158,Healthcare,378614,385525.7764011821
15,5,14,20071,Finance,281362,290375.8552880407
15,6,227,49409,Technology,136916,138891.66020176385
15,7,264,7160,Healthcare,129552,132344.36962919438
15,8,407,16810,Finance,88233,89849.03347120133
15,9,368,6126,Manufacturing,334839,343498.7899347447
15,10,292,31009,Technology,176440,178989.32209973564
15,11,402,34584,Healthcare,223806,226329.1149392133
15,12,216,47182,Manufacturing,393401,407670.3467286183
16,1,24,26396,Technology,313649,324441.6492716648
16,2,355,1192,Retail,448579,465774.98772677145
16,3,51,37413,Manufacturing,491924,509837.6375697616
16,4,389,13816,Finance,355758,360942.0298869541
16,5,470,40082,Healthcare,51010,52114.01734955887
16,6,188,33130,Technology,294300,298767.787251747
16,7,72,41142,Manufacturing,180560,188453.88387655554
16,8,361,37468,Retail,200933,208945.43368726206
16,9,240,31698,Healthcare,467341,475781.6832428326
16,10,250,11655,Healthcare,305182,312400.2774652475
16,11,61,48897,Manufacturing,190441,199708.73502967157
16,12,105,31075,Retail,381537,394420.12115709315
17,1,397,10359,Technology,207743,216477.80869000536
17,2,231,37661,Manufacturing,114512,116869.07394293747
17,3,494,40579,Technology,148026,150749.99174249847
17,4,416,43056,Healthcare,125656,130852.71462444568
17,5,240,34272,Technology,266831,276819.79132407444
17,6,246,43581,Retail,409830,425091.70738915424
17,7,152,15671,Finance,225210,232440.4533669501
17,8,180,28048,Retail,234492,242123.10451017434
17,9,38,11738,Technology,327633,340550.88123024016
17,10,45,26963,Manufacturing,109789,112072.6220959926
17,11,22,44954,Healthcare,119925,122816.48033071581
17,12,169,7773,Finance,361847,378081.43602009484
18,1,336,37584,Manufacturing,126625,129455.65224312659
18,2,196,30894,Manufacturing,419679,433046.77618427575
18,3,252,1717,Retail,301518,313007.51783633465
18,4,95,12676,Technology,239300,251264.28044244717
18,5,293,5434,Retail,53051,54505.21561708635
18,6,75,38825,Technology,219162,225106.48764107501
18,7,179,30100,Retail,78805,82249.05708965081
18,8,54,5994,Manufacturing,144978,151098.9892025693
18,9,71,5234,Healthcare,356701,370699.02992362384
18,10,450,4764,Technology,445771,458488.4835478984
18,11,143,44949,Finance,100241,102542.2892537612
18,12,293,38405,Finance,177838,183946.59646247697
19,1,37,35872,Manufacturing,115994,121219.40578654046
19,2,117,43215,Retail,426149,445475.3252015252
19,3,53,24185,Retail,328210,332916.5096734228
19,4,349,44442,Manufacturing,185793,190834.30937121986
19,5,295,42153,Finance,390126,401279.2647153597
19,6,455,12999,Finance,318448,334085.2663422882
19,7,340,37487,Retail,292941,303814.94666332717
19,8,137,3581,Technology,92967,95411.08910694411
19,9,357,3763,Healthcare,281296,284402.15916384815
19,10,482,28374,Technology,390907,403656.5906711559
19,11,240,39759,Finance,352606,357487.1386186375
19,12,199,11531,Technology,432500,451260.98426211625
20,1,234,26307,Healthcare,121834,126719.63433967718
20,2,394,31835,Technology,423167,435193.5611868346
20,3,386,12064,Technology,493371,506775.1160605307
20,4,292,12312,Technology,167771,175470.6082236975
20,5,455,38548,Technology,125842,128552.42702933274
20,6,130,37945,Manufacturing,52589,53638.718431489324
20,7,125,48937,Finance,437167,457962.1149646456
20,8,470,7476,Healthcare,480294,500643.976796707
20,9,242,25565,Finance,281617,293677.25470571214
20,10,268,3382,Manufacturing,104918,106786.35378424806
20,11,368,23463,Manufacturing,456817,464003.57179670024
20,12,207,46276,Manufacturing,57711,58348.19765397987
21,1,465,34402,Manufacturing,267972,273192.53948911827
21,2,420,27345,Technology,371574,386796.5023107304
21,3,146,45764,Finance,244399,249189.5959803016
21,4,327,27946,Retail,280314,291292.2543135046
21,5,174,15162,Healthcare,276218,281763.4438897304
21,6,234,47773,Manufacturing,414749,425454.37672930176
21,7,316,9397,Finance,53970,56632.15075146075
21,8,243,23335,Manufacturing,308989,315104.65528151015
21,9,181,46095,Manufacturing,381679,391241.900586263
21,10,161,15394,Manufacturing,398714,407503.0469628803
21,11,472,28197,Manufacturing,171315,173779.366181325
21,12,324,23010,Manufacturing,479392,493579.97330337524
22,1,383,25123,Healthcare,424255,434924.00629489374
22,2,169,23387,Finance,353874,367248.8389041186
22,3,105,3890,Manufacturing,194457,202761.04931266228
22,4,481,28769,Manufacturing,173252,178756.21406143194
22,5,242,44626,Manufacturing,187022,189133.07757006472
22,6,189,9026,Manufacturing,282302,292113.94076039095
22,7,122,4306,Technology,254583,257692.89152883683
22,8,327,34665,Technology,496225,513421.3066671171
22,9,451,10277,Retail,466614,484065.92258993175
22,10,61,43239,Manufacturing,468493,476884.03996661655
22,11,277,48664,Retail,207833,216722.8167250917
22,12,304,49008,Healthcare,245507,256909.181095894
23,1,395,15683,Retail,113944,118789.2952415594
23,2,396,1670,Finance,474749,485290.50131775986
23,3,122,24675,Technology,157437,162705.74263801615
23,4,110,18889,Technology,176794,185031.29317944456
23,5,122,45535,Manufacturing,384267,393038.5048940591
23,6,449,14006,Manufacturing,335024,349363.400045066
23,7,90,49536,Healthcare,484969,490002.4957973141
23,8,196,27531,Healthcare,399973,404031.0733061158
23,9,122,22639,Finance,182633,190009.26678650748
23,10,11,17633,Manufacturing,103205,107380.4579085372
23,11,139,35660,Manufacturing,156948,163470.61566716165
23,12,229,4439,Healthcare,371954,389510.6280983941
24,1,63,33172,Healthcare,425233,431490.83618777094
24,2,352,36622,Healthcare,114482,116689.14420203611
24,3,494,12577,Technology,381336,398934.2738494266
24,4,233,12763,Retail,137154,139497.88613877076
24,5,234,21176,Retail,136066,141139.78830088302
24,6,394,45386,Manufacturing,268480,276861.54825003835
24,7,412,25255,Technology,209402,212192.85689280237
24,8,135,42003,Healthcare,459355,469190.0415772461
24,9,139,20996,Manufacturing,178514,184014.8890338297
24,10,62,36386,Technology,345121,360338.7669848017
24,11,181,22062,Finance,54983,57088.933550979345
24,12,227,36931,Technology,220981,228687.78451605892
25,1,169,36710,Manufacturing,245552,252879.5947276358
25,2,207,35693,Retail,361173,369099.7936194441
25,3,425,36740,Healthcare,202401,205390.42157183719
25,4,256,12705,Finance,172668,177220.05362945836
25,5,333,44408,Technology,217806,220232.51996339374
25,6,448,29047,Manufacturing,354981,361527.6432251134
25,7,212,11966,Manufacturing,255426,262398.959950626
25,8,193,18374,Healthcare,257526,264413.3287618138
25,9,132,12138,Manufacturing,289026,292428.36124957347
25,10,410,16935,Manufacturing,167512,173134.10577749313
25,11,264,46913,Healthcare,116786,120521.67702016303
25,12,303,1489,Finance,316902,321061.07640611345
26,1,289,45516,Retail,414811,434608.4863581667
26,2,334,23260,Retail,158119,160328.76222499722
26,3,381,27069,Technology,412301,430521.9690155722
26,4,107,20275,Finance,132673,134001.37372249438
26,5,207,37284,Technology,409783,428342.5817588393
26,6,479,40178,Retail,202904,205093.08850172732
26,7,404,33821,Healthcare,445084,463026.4404161068
26,8,249,17999,Manufacturing,309111,316674.2143348733
26,9,153,39712,Retail,164869,171386.052624867
26,10,106,41172,Finance,493881,506756.3829520198
26,11,210,34722,Retail,294944,298729.99464976974
26,12,133,11625,Finance,485078,504820.8045115597
27,1,196,2629,Finance,331872,336136.5908473189
27,2,335,11973,Finance,415686,435175.36222171894
27,3,473,7859,Technology,405709,410593.31500348
27,4,358,42609,Healthcare,483073,497165.69399635674
27,5,268,44307,Retail,471399,489746.4983067454
27,6,157,46450,Healthcare,309554,317518.78064648935
27,7,261,37046,Manufacturing,462156,470793.3901473496
27,8,452,22839,Retail,175019,182083.40363890285
27,9,429,28216,Healthcare,448496,467051.08151675697
27,10,412,19945,Healthcare,152548,159703.69097649085
27,11,355,7539,Manufacturing,445380,456535.2566753517
27,12,460,34625,Finance,433433,446544.3783215352
28,1,156,5886,Retail,294525,301748.2661851696
28,2,157,46713,Retail,441212,450161.22339130746
28,3,361,8485,Manufacturing,391768,407454.9072510266
28,4,208,32455,Finance,199477,204181.87924353787
28,5,317,47448,Retail,52821,54253.82126701913
28,6,498,17767,Retail,367234,376836.04767935607
28,7,426,48165,Retail,465732,483665.6855177164
28,8,433,29453,Finance,453689,474881.6411925811
28,9,137,11744,Manufacturing,358598,371747.87560290814
28,10,48,38102,Retail,223602,230055.89246607453
28,11,347,13226,Healthcare,154273,160624.14242664448
28,12,369,28869,Finance,306196,317108.4742224361
29,1,138,23588,Technology,416616,421792.2097816398
29,2,276,14440,Manufacturing,273626,277409.3017798977
29,3,485,32709,Healthcare,260704,263706.44395951094
29,4,450,48788,Retail,286579,294681.3486379153
29,5,482,23495,Technology,468014,488154.5787687486
29,6,443,38019,Manufacturing,444079,454081.1364304952
29,7,160,45948,Finance,66148,67825.93711164806
29,8,424,49908,Technology,136545,142877.83207048374
29,9,487,1922,Technology,104459,109000.4738797733
29,10,307,28526,Healthcare,264417,274095.17106927437
29,11,108,8957,Manufacturing,396368,404561.77926001366
29,12,272,49564,Healthcare,378333,383887.55621079874
30,1,261,34998,Healthcare,451345,456148.37277290225
30,2,153,44395,Retail,141954,143981.16372075552
30,3,355,25031,Finance,335262,342538.47875529004
30,4,121,11006,Technology,181515,187336.47693562528
30,5,69,38701,Manufacturing,470257,476163.42947659554
30,6,378,48063,Finance,139379,141532.2816605699
30,7,11,26939,Finance,333197,338942.39187067596
30,8,394,21324,Manufacturing,408528,422940.5752192914
30,9,313,23867,Finance,218276,225835.24536648745
30,10,263,1203,Retail,429689,443452.208967965
30,11,149,17544,Finance,223312,227782.71896606797
30,12,462,16899,Retail,282415,289431.5407038215
31,1,46,30063,Technology,438819,444904.3613853445
31,2,169,26344,Technology,405893,413628.6809536467
31,3,18,4748,Healthcare,189363,198056.31619202107
31,4,242,40486,Retail,289654,303901.4053248849
31,5,108,2093,Technology,328429,340221.69760209025
31,6,156,16228,Finance,373733,391176.2147759116
31,7,313,21884,Manufacturing,63944,66227.41952317074
31,8,217,26183,Manufacturing,151041,152751.97121831425
31,9,140,17034,Retail,401020,421019.06927325
31,10,413,6710,Healthcare,407705,413395.7839263643
31,11,161,43500,Finance,104391,108285.37641178606
31,12,63,20259,Retail,51607,52644.99471728323
32,1,129,36959,Manufacturing,310314,318282.6290828244
32,2,170,34457,Retail,52953,54850.69611551057
32,3,417,21143,Finance,94941,97548.03181722492
32,4,125,3103,Technology,252541,257597.33609074104
32,5,84,1365,Finance,373827,382566.2705880865
32,6,122,47778,Technology,251290,257236.00505206498
32,7,465,45535,Technology,421732,442132.4235558423
32,8,429,17103,Technology,434224,452437.3175290538
32,9,431,33510,Retail,323298,332460.8960288699
32,10,113,25476,Manufacturing,437686,445561.2127736212
32,11,349,13742,Retail,190119,198187.77287468105
32,12,263,13391,Manufacturing,138529,140785.26322437747
33,1,236,37940,Finance,256946,261678.55699383077
33,2,121,29901,Healthcare,64323,65907.95317613336
33,3,482,33001,Finance,349837,365654.5048716909
33,4,108,16623,Retail,239802,243464.12826847186
33,5,162,3378,Retail,311092,315723.96318094
33,6,358,22372,Manufacturing,401314,413256.7031382696
33,7,411,45799,Retail,469508,479394.15841311234
33,8,393,39437,Technology,95111,98225.80133032393
33,9,375,36503,Retail,276325,284080.1902758036
33,10,347,31746,Manufacturing,351635,361269.22381447244
33,11,203,28923,Manufacturing,99336,100774.27787985184
33,12,319,10867,Technology,66905,67951.52718104662
34,1,172,42258,Manufacturing,80273,83712.14762589564
34,2,217,34724,Healthcare,175191,183150.8573071173
34,3,454,10306,Finance,428080,436379.3330703007
34,4,178,40391,Retail,207306,210319.90170916377
34,5,493,15908,Healthcare,259957,263112.0115114432
34,6,170,28081,Retail,116538,120538.97149241013
34,7,77,38228,Healthcare,154570,160538.58584224625
34,8,298,24386,Retail,213645,218967.40960573274
34,9,407,47754,Technology,405483,420561.71039110824
34,10,286,46406,Manufacturing,312025,324043.6889769985
34,11,313,29302,Manufacturing,433276,453819.214492581
34,12,413,20212,Technology,245392,248482.69886942528
35,1,393,36618,Healthcare,178993,182159.68489665203
35,2,401,47067,Finance,323474,327595.39501247794
35,3,144,11698,Healthcare,273112,285325.50236485165
35,4,204,5594,Manufacturing,261588,272497.13160075445
35,5,410,26525,Finance,384697,397386.4932256804
35,6,137,15282,Retail,222425,225393.60335922538
35,7,42,15334,Finance,197083,201208.43878322205
35,8,185,30179,Healthcare,133537,136462.6346140076
35,9,469,7644,Technology,110985,114584.21334439084
35,10,452,36618,Retail,67044,68406.4517932719
35,11,380,48701,Healthcare,481508,487728.31032611994
35,12,479,33933,Retail,172304,179063.57070634124
36,1,384,44469,Finance,186322,190414.22892784237
36,2,31,34687,Manufacturing,308116,316772.50887710846
36,3,247,42073,Healthcare,335433,340500.2740948808
36,4,167,18375,Technology,83087,86585.12323536581
36,5,47,49483,Finance,125952,130060.71483849356
36,6,239,31926,Healthcare,271767,284285.518835127
36,7,374,37607,Technology,86368,88943.39551835306
36,8,60,18642,Healthcare,170648,178780.5763217751
36,9,447,24993,Finance,382959,400450.5482272667
36,10,273,45386,Healthcare,140693,145344.08466339274
36,11,292,47287,Retail,108900,114057.0398165808
36,12,36,22188,Finance,327638,335148.6260394437
37,1,235,33596,Healthcare,428630,439185.30800799624
37,2,286,28772,Manufacturing,226238,228911.93362990304
37,3,295,31857,Healthcare,272182,281318.615248192
37,4,106,11776,Retail,206405,214429.39868052726
37,5,293,33835,Technology,345194,359326.50733425736
37,6,376,10788,Technology,147799,150162.6978904531
37,7,457,6660,Technology,181016,186042.1559453488
37,8,490,5478,Manufacturing,279147,283913.3034026552
37,9,462,9210,Retail,138257,143301.31963482167
37,10,326,11922,Finance,98070,99670.29202973611
37,11,313,37289,Technology,317310,331959.1071422441
37,12,156,34340,Retail,450337,458994.902576929
38,1,13,40850,Healthcare,195749,199988.1580889463
38,2,44,39163,Manufacturing,237633,248097.46688206837
38,3,201,49175,Retail,399553,410875.8143614622
38,4,58,19642,Retail,87664,88624.7832237047
38,5,26,12094,Finance,442070,455236.3697627661
38,6,181,23423,Retail,313437,317631.33037646156
38,7,229,34418,Finance,465659,488668.97545436857
38,8,167,6741,Manufacturing,361356,373470.2657861422
38,9,486,47049,Manufacturing,125276,127814.2552081533
38,10,55,7838,Healthcare,324703,335271.66286808596
38,11,382,4262,Finance,115231,116737.60892759133
38,12,15,5996,Finance,158277,164923.94583863023
39,1,108,45594,Technology,220116,230464.3403961746
39,2,389,23164,Technology,333891,348908.6744489017
39,3,242,36595,Healthcare,287528,294333.87519494805
39,4,46,31257,Manufacturing,473345,484246.4784237036
39,5,289,15211,Technology,312181,315740.95742228464
39,6,358,31453,Retail,416438,431453.09450306767
39,7,311,6232,Manufacturing,147847,152488.83270512434
39,8,190,3217,Retail,153742,158104.2531928243
39,9,104,25229,Finance,303437,317487.722543481
39,10,108,15232,Manufacturing,98503,100149.49301573455
39,11,197,26613,Healthcare,340351,343886.1069413708
39,12,490,15026,Finance,345385,349851.7461126292
40,1,125,29554,Finance,443274,451667.33002925955
40,2,200,31908,Retail,408315,412941.7895619003
40,3,262,20610,Finance,195906,201805.46399909016
40,4,478,47646,Technology,309966,316959.95448187727
40,5,425,40605,Manufacturing,429446,436840.7682353131
40,6,480,8031,Technology,208262,216593.1803846783
40,7,170,48574,Retail,122832,125064.84661215177
40,8,265,26515,Retail,333527,346035.66466076626
40,9,332,37484,Manufacturing,292046,299046.5167477272
40,10,137,37182,Finance,436435,449734.5319489905
40,11,27,1570,Healthcare,467876,490032.11900549906
40,12,290,33254,Retail,289101,292423.9457990755
41,1,499,20288,Manufacturing,314818,324265.87086860155
41,2,232,14288,Healthcare,426244,445074.1464120754
41,3,63,30877,Finance,421513,435641.6815741332
41,4,67,19889,Retail,72820,74354.6684418161
41,5,332,1917,Manufacturing,266112,273006.2288894286
41,6,369,11066,Manufacturing,468882,486329.39234118053
41,7,183,30504,Manufacturing,93794,98074.05243261076
41,8,289,7982,Retail,445292,450476.38110793504
41,9,123,40104,Healthcare,178544,180840.35309662382
41,10,297,19062,Manufacturing,495558,506956.8553174768
41,11,440,17999,Finance,87555,89245.79101083694
41,12,351,10941,Manufacturing,236280,241146.71479186518
42,1,160,24470,Healthcare,344550,351045.04312106187
42,2,459,46148,Retail,90262,91871.64242239058
42,3,136,22133,Manufacturing,403464,409606.7227267581
42,4,164,45435,Manufacturing,267733,280412.3436627174
42,5,499,5529,Finance,466432,473786.50320114696
42,6,395,18519,Finance,262208,266973.93219894887
42,7,483,13192,Manufacturing,342428,349225.41117325175
42,8,282,9566,Manufacturing,201243,210765.93848453544
42,9,113,8226,Finance,402771,418973.8994921857
42,10,426,38930,Healthcare,457549,476577.5373856574
42,11,402,22259,Technology,473751,480473.6832085849
42,12,308,35087,Technology,139023,145063.88231017216
43,1,255,2141,Manufacturing,257012,263778.5408137623
43,2,185,5627,Finance,214772,219177.6010794275
43,3,48,48269,Retail,91516,94538.7737857378
43,4,486,3690,Retail,327721,341776.0741630866
43,5,179,41091,Technology,305623,318198.1902547187
43,6,256,4255,Healthcare,65015,67979.6774532005
43,7,35,6213,Technology,141104,147753.56655902092
43,8,364,37876,Manufacturing,426556,434884.4559319974
43,9,315,20404,Healthcare,403884,414770.4168691465
43,10,418,26380,Retail,278356,281302.43766635866
43,11,417,26520,Finance,464452,485432.628131559
43,12,22,20173,Finance,378784,384913.81831296877
44,1,325,24989,Manufacturing,133190,139111.49321023695
44,2,400,43570,Technology,179516,183676.37177974984
44,3,322,25519,Manufacturing,488920,501008.71499254316
44,4,45,23439,Finance,223441,226025.16000296513
44,5,182,12413,Retail,184718,188980.3958515148
44,6,29,15995,Finance,137007,143245.55172358212
44,7,330,24559,Healthcare,206978,209259.28999957393
44,8,273,46351,Finance,267715,274743.3483778682
44,9,409,24513,Finance,97728,98828.02492089357
44,10,151,6021,Healthcare,327022,335144.2248130407
44,11,469,33464,Technology,441069,448525.5473915329
44,12,380,22119,Finance,59145,60333.148274794316
45,1,480,30299,Manufacturing,138578,144828.41309423852
45,2,152,40350,Finance,68226,70098.25576504596
45,3,101,47223,Manufacturing,314946,321544.7232880027
45,4,363,26517,Healthcare,74119,76607.43684941267
45,5,331,14117,Finance,113560,115341.10665434353
45,6,297,23250,Healthcare,107353,109540.38868925805
45,7,224,19950,Healthcare,295741,305160.3268074738
45,8,456,18359,Technology,273793,279132.21584786836
45,9,351,24596,Finance,435145,451317.21157165215
45,10,60,26530,Manufacturing,121641,125248.82973992602
45,11,162,2262,Manufacturing,101712,105869.94209254981
45,12,195,41150,Finance,495405,519149.6533687836
46,1,72,23615,Technology,180085,182720.03893992514
46,2,199,4327,Technology,380429,389325.94100333645
46,3,134,30768,Technology,165278,169043.3572005767
46,4,159,29850,Manufacturing,224021,227615.93595091405
46,5,323,43788,Healthcare,215201,224328.13181829202
46,6,67,17848,Technology,336656,350255.26899947535
46,7,351,47830,Manufacturing,152077,156544.5688931233
46,8,314,40542,Manufacturing,260103,268299.06170466845
46,9,189,16160,Healthcare,314208,318098.44978053955
46,10,179,34998,Finance,145614,150305.72590407002
46,11,335,28230,Finance,232639,242329.26603225616
46,12,280,10076,Technology,167639,173163.22522432098
47,1,63,4805,Technology,342155,349207.58604274207
47,2,453,32085,Healthcare,383296,397363.70330370654
47,3,110,15715,Technology,254583,260809.9823586337
